dep	circo	panneau	sexe	nom	prenom	nuance_ministere	nuance_lemonde	bloc_lemonde	parti_lemonde
69	11	7	M	DULAC	Michel	RN	RN	Rassemblement national	Rassemblement national
69	11	8	F	SPENNATO	Sophie	ECO	écol.	Divers	divers écologistes
69	11	9	M	YOUSFI	Abdel	NUP	PCF-Nupes	Nupes	Parti communiste français
69	11	10	M	FUGIT	Jean-Luc	ENS	LRM-Ensemble	Ensemble	La République en marche
69	11	11	F	ROSSOLINI	Aude	DVD	div. d.	Droite	divers droite
69	11	12	M	COMMUNAL	Pierre-Henri	DSV	Pat.	Extrême droite	Les Patriotes
69	12	1	M	HEURTEL	Antoine	DIV	Pirate	Divers	Parti Pirate
69	12	2	M	PIRRA	Olivier	REC	Rec.	Reconquête	Reconquête !
69	12	3	F	CARRON	Lucie	ECO	écol.	Divers	divers écologistes
69	12	4	F	SPENNATO	Samantha	ECO	écol.	Divers	divers écologistes
69	12	5	M	ISAAC-SIBILLE	Cyrille	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
69	12	6	M	MOROGE	Jérôme	LR	LR	LR-UDI	Les Républicains
69	12	7	M	AMSELLEM	David	DSV	souv.	Divers	divers souverainistes
69	12	8	F	FAURITE	Cécile	DXG	LO	Extrême gauche	Lutte ouvrière
69	12	9	F	ANNANI	Elodie	RN	RN	Rassemblement national	Rassemblement national
69	12	10	M	BAUDIN	Jean-François	NUP	EELV-Nupes	Nupes	Europe Ecologie-Les Verts
69	12	11	F	BEUZIT	Céline	ECO	Anim.	Divers	Parti animaliste
69	12	12	M	CHAMBON	Arthur	RDG	PS dis.	Gauche	dissident PS hors accord Nupes
69	13	1	F	TANZILLI	Sarah	ENS	LRM-Ensemble	Ensemble	La République en marche
69	13	2	M	PRANDT	Victor	NUP	LFI-Nupes	Nupes	La France insoumise
69	13	3	M	BARTHÈS	Didier	ECO	écol.	Divers	divers écologistes
69	13	4	M	PIOT	Michel	DXG	LO	Extrême gauche	Lutte ouvrière
69	13	5	F	GIGAREL	Océane	REC	Rec.	Reconquête	Reconquête !
69	13	6	F	PERREIRA	Christina	ECO	écol.	Divers	divers écologistes
69	13	7	F	CHOMETTE	Auriane	DSV	Pat.	Extrême droite	Les Patriotes
69	13	8	M	PECHEREAU	Alain	RN	RN	Rassemblement national	Rassemblement national
69	13	9	M	GASCON	Gilles	LR	LR	LR-UDI	Les Républicains
69	13	10	F	BRIZA	Sabrina	DIV	UDMF	Divers	Union des démocrates musulmans français
69	14	1	M	MONCHAU	Damien	RN	RN	Rassemblement national	Rassemblement national
69	14	2	M	KESSI	Mokrane	DVC	div. c.	Centre	divers centre
69	14	3	M	MINOUX	Olivier	DXG	LO	Extrême gauche	Lutte ouvrière
69	14	4	F	SALMI	Camila	ECO	écol.	Divers	divers écologistes
69	14	5	M	OMEIR	Farid	DIV	UDMF	Divers	Union des démocrates musulmans français
69	14	6	M	AYVALI	Yalcin	DIV	div.	Divers	divers inclassable
69	14	7	F	PALLUY	Delphine	ECO	Anim.	Divers	Parti animaliste
69	14	8	M	ATTAL	Bruno	REC	Rec.	Reconquête	Reconquête !
69	14	9	M	BOUMERTIT	Idir	NUP	LFI-Nupes	Nupes	La France insoumise
69	14	10	M	BLEIN	Yves	ENS	LRM-Ensemble	Ensemble	La République en marche
69	14	11	M	EGRON	Martin	DSV	Pat.	Extrême droite	Les Patriotes
70	01	1	F	BESSOT BALLOT	Barbara	ENS	LRM-Ensemble	Ensemble	La République en marche
70	01	2	F	ERARD	Karine	ECO	Anim.	Divers	Parti animaliste
70	01	3	M	FISCHER	Cédric	DXG	LO	Extrême gauche	Lutte ouvrière
70	01	4	M	VILLEDIEU	Antoine	RN	RN	Rassemblement national	Rassemblement national
70	01	5	M	DOUSSOT	Dimitri	LR	LR	LR-UDI	Les Républicains
70	01	6	F	KEMPS HOUVER	Marion	DSV	DLF	Extrême droite	Debout la France
70	01	7	M	GHILES	Philippe	REC	Rec.	Reconquête	Reconquête !
70	01	8	F	GIRARDOT	Sandra	NUP	LFI-Nupes	Nupes	La France insoumise
70	02	1	F	APRO	Isabelle	DXG	LO	Extrême gauche	Lutte ouvrière
70	02	2	M	GUERAIN	Patrice	NUP	LFI-Nupes	Nupes	La France insoumise
70	02	3	F	ROCHON	Sophie	ECO	Anim.	Divers	Parti animaliste
70	02	4	M	LEJEUNE	Christophe	ENS	LRM-Ensemble	Ensemble	La République en marche
70	02	5	M	MONNIER	Maurice	REC	Rec.	Reconquête	Reconquête !
70	02	6	M	SALMON	Emeric	RN	RN	Rassemblement national	Rassemblement national
70	02	7	F	COUDEREAU	Corinne	UDI	UDI	LR-UDI	Union des démocrates et indépendants
70	02	8	M	BURI	Ludovic	DVD	MdR	Divers	Mouvement de la ruralité
71	01	1	F	KOLLER	Odile	DXG	LO	Extrême gauche	Lutte ouvrière
71	01	2	M	MONIN	Patrick	NUP	EELV-Nupes	Nupes	Europe Ecologie-Les Verts
71	01	3	M	JUVANON	Christophe	LR	LR	LR-UDI	Les Républicains
71	01	4	M	LAUNOY	Manuel	DVD	MdR	Divers	Mouvement de la ruralité
71	01	5	M	VAUCHER	Philippe	DSV	souv.	Divers	divers souverainistes
71	01	6	M	ROY	Armand	DSV	DLF	Extrême droite	Debout la France
71	01	7	M	DUTREMBLE	Aurélien	RN	RN	Rassemblement national	Rassemblement national
71	01	8	F	BIZE	Myriam	REC	Rec.	Reconquête	Reconquête !
71	01	9	M	DIRX	Benjamin	ENS	LRM-Ensemble	Ensemble	La République en marche
71	02	1	F	CORNELOUP	Josiane	LR	LR	LR-UDI	Les Républicains
71	02	2	M	DAMIEN	Olivier	RN	RN	Rassemblement national	Rassemblement national
71	02	3	F	ALBERT	Laurence	REC	Rec.	Reconquête	Reconquête !
71	02	4	F	VARÉLA	Chantal	DSV	DLF	Extrême droite	Debout la France
71	02	5	F	VINAUGER	Céline	NUP	PCF-Nupes	Nupes	Parti communiste français
71	02	6	F	SICARD	Maud	DIV	Pirate	Divers	Parti Pirate
71	02	7	F	GAUTHIER	Laurence	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
71	02	8	M	DUSSAUGE	Pascal	DXG	LO	Extrême gauche	Lutte ouvrière
71	03	1	M	REBEYROTTE	Rémy	ENS	LRM-Ensemble	Ensemble	La République en marche
71	03	2	F	BERTHELIER	Muriel	ECO	écol.	Divers	divers écologistes
71	03	3	F	LUCOTTE	Julie	DXG	LO	Extrême gauche	Lutte ouvrière
71	03	4	M	LANDRE	Charles	LR	LR	LR-UDI	Les Républicains
71	03	5	M	BENINGER	Richard	NUP	LFI-Nupes	Nupes	La France insoumise
71	03	6	F	ROBERT	France	DSV	DLF	Extrême droite	Debout la France
71	03	7	F	BIGOT	Anne	REC	Rec.	Reconquête	Reconquête !
71	03	8	F	BAROIN	Sandrine	RN	RN	Rassemblement national	Rassemblement national
71	04	1	F	ROBLOT	Elisabeth	ENS	Hor.-Ensemble	Ensemble	Horizons
71	04	2	M	RAFFA	Jean	REC	Rec.	Reconquête	Reconquête !
71	04	3	F	SZYCH	Nathalie	DSV	Pat.	Extrême droite	Les Patriotes
71	04	4	M	MICHOUX	Eric	DVD	LCen.	Droite	Les Centristes
71	04	5	F	DELOGE	Valérie	RN	RN	Rassemblement national	Rassemblement national
71	04	6	M	COURATIER	Claude	DXG	LO	Extrême gauche	Lutte ouvrière
71	04	7	F	UNTERMAIER	Cécile	NUP	PS-Nupes	Nupes	Parti socialiste
71	05	1	M	PLATRET	Gilles	LR	LR	LR-UDI	Les Républicains
71	05	2	M	DUFRAIGNE	Pascal	DXG	LO	Extrême gauche	Lutte ouvrière
71	05	3	M	BATHIARD	Tristan-Ludovic	RDG	PRG	Gauche	Parti radical de gauche
71	05	4	M	GOUBEAULT	Denis	REC	Rec.	Reconquête	Reconquête !
71	05	5	M	CALLI	Ramazan	DVG	UDMF	Divers	Union des démocrates musulmans français
71	05	6	M	SANVERT	Arnaud	RN	RN	Rassemblement national	Rassemblement national
71	05	7	M	RIBOULET	Eric	NUP	LFI-Nupes	Nupes	La France insoumise
71	05	8	F	PELLETIER	Christine	ECO	Anim.	Divers	Parti animaliste
71	05	9	M	LARTAUT	Patrick	DXG	POID	Extrême gauche	Parti ouvrier indépendant démocratique
